camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
MAP-T2-C4-4950;Riozinho_Liberdade;não;Mapes_2;-8018679.55;-860154.042;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MAP-T2-C5-6200;Riozinho_Liberdade;não;Mapes_2;-8018509.9;-858830.724;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
MAR-T1-C1-1000;Arapixi;não;Maracaju;-7542056.36;-981517.699;Purus varzeá;PV;Amazon River and Flooded Forests;32
MAR-T1-C2-1600;Arapixi;não;Maracaju;-7542215.31;-980892.619;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MAR-T1-C3-2500;Arapixi;não;Maracaju;-7542728.73;-980115.795;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MAR-T1-C4-3900;Arapixi;não;Maracaju;-7543691.75;-979054.602;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MAR-T1-C5-5000;Arapixi;não;Maracaju;-7544122.67;-978024.665;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MAR-T1-C6-5400;Arapixi;não;Maracaju;-7543973.5;-977684;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MOI-T1-C1-475;Arapixi;não;Moisés;-7536658.03;-980484.782;Purus varzeá;PV;Amazon River and Flooded Forests;32
MOI-T1-C2-1300;Arapixi;não;Moisés;-7537653.11;-980240.353;Purus varzeá;PV;Amazon River and Flooded Forests;32
MOI-T1-C3-2300;Arapixi;não;Moisés;-7538421;-979590.791;Purus varzeá;PV;Amazon River and Flooded Forests;32
MOI-T1-C4-3500;Arapixi;não;Moisés;-7539366.32;-978856.513;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MOI-T1-C5-4600;Arapixi;não;Moisés;-7540362.18;-978310.935;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MOI-T1-C6-5700;Arapixi;não;Moisés;-7541039.34;-977334.062;Juruá-Purus moist forests;JPF;Southwestern Amazonian Moist Forests;36
MOR-T1-C1-800;Riozinho_Liberdade;não;Morro da Pedra;-8021536.12;-869381.856;Southwest Amazon moist forests;SWA;Southwestern Amazonian Moist Forests;36
