camera_id;RESEX;Entorno;Comunidade;X;Y;ECO_NAME_m;Eco_reg;G200_REGIO;G200_REG_1
SJE-T4-C5-5500;Arapixi;não;Extrema;-7555084.74;-1001850.2;Purus varzeá;PV;Amazon River and Flooded Forests;32
SJE-T4-C6-6550;Arapixi;não;Extrema;-7554618.98;-1002911.1;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T1-C1-1170;Arapixi;sim;Santa Amélia;-7589598.35;-1010382.61;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T1-C2-1750;Arapixi;sim;Santa Amélia;-7590017.24;-1010868.37;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T1-C3-2700;Arapixi;sim;Santa Amélia;-7590470.76;-1011743.9;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T1-C4-4200;Arapixi;sim;Santa Amélia;-7590571.84;-1013300.37;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T1-C5-6200;Arapixi;sim;Santa Amélia;-7590447.38;-1015395.47;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T2-C1-2250;Arapixi;sim;Santa Amélia;-7590440.26;-1011241.23;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T2-C2-2900;Arapixi;sim;Santa Amélia;-7589503.05;-1012157.21;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T2-C3-2800;Arapixi;sim;Santa Amélia;-7590071.23;-1011954.37;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T2-C4-5000;Arapixi;sim;Santa Amélia;-7591575.38;-1013750.21;Purus varzeá;PV;Amazon River and Flooded Forests;32
STA-T2-C5-5950;Arapixi;sim;Santa Amélia;-7592422.64;-1014390.58;Purus varzeá;PV;Amazon River and Flooded Forests;32
