Camera.Trap.Name,data.hora.correta,Photo.time,bin
1031,5/19/13 07:48,07:48:09,Myoprocta pratti
1031,5/19/13 07:48,07:48:10,Myoprocta pratti
1031,5/30/13 08:12,08:12:40,Myoprocta pratti
1031,5/30/13 08:12,08:12:41,Myoprocta pratti
1031,5/30/13 08:12,08:12:42,Myoprocta pratti
1031,5/17/13 14:51,14:51:11,Myrmecophaga tridactyla
1031,5/17/13 14:51,14:51:12,Myrmecophaga tridactyla
1031,5/17/13 14:51,14:51:13,Myrmecophaga tridactyla
1031,5/17/13 14:51,14:51:24,Myrmecophaga tridactyla
1031,5/17/13 14:51,14:51:25,Myrmecophaga tridactyla
1031,5/17/13 14:51,14:51:26,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:32,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:33,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:34,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:45,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:46,Myrmecophaga tridactyla
1031,5/17/13 14:52,14:52:47,Myrmecophaga tridactyla
1031,5/27/13 09:41,09:41:37,Pecari tajacu
1031,5/27/13 09:41,09:41:38,Pecari tajacu
1031,5/27/13 09:41,09:41:39,Pecari tajacu
1031,5/27/13 09:41,09:41:44,Pecari tajacu
1031,5/27/13 09:41,09:41:45,Pecari tajacu
1031,5/27/13 09:41,09:41:46,Pecari tajacu
1031,5/31/13 18:35,18:35:06,Pecari tajacu
1031,5/31/13 18:35,18:35:07,Pecari tajacu
1031,5/31/13 18:35,18:35:08,Pecari tajacu
1031,5/31/13 18:35,18:35:12,Pecari tajacu
1031,5/31/13 18:35,18:35:13,Pecari tajacu
1031,5/31/13 18:35,18:35:14,Pecari tajacu
1031,5/31/13 18:35,18:35:33,Pecari tajacu
1031,5/31/13 18:35,18:35:34,Pecari tajacu
1031,5/31/13 18:35,18:35:34,Pecari tajacu
1031,5/31/13 18:35,18:35:39,Pecari tajacu
1031,5/31/13 18:35,18:35:40,Pecari tajacu
1031,5/31/13 18:35,18:35:41,Pecari tajacu
1031,5/29/13 11:09,11:09:50,Psophia leucoptera
1031,5/29/13 11:09,11:09:50,Psophia leucoptera
1031,5/29/13 11:09,11:09:51,Psophia leucoptera
1031,5/29/13 11:10,11:10:13,Psophia leucoptera
1031,5/29/13 11:10,11:10:14,Psophia leucoptera
1031,5/29/13 11:10,11:10:15,Psophia leucoptera
1031,5/31/13 16:59,16:59:08,Psophia leucoptera
1031,5/31/13 16:59,16:59:09,Psophia leucoptera
1031,5/31/13 16:59,16:59:10,Psophia leucoptera
1031,5/31/13 16:59,16:59:18,Psophia leucoptera
1031,5/31/13 16:59,16:59:19,Psophia leucoptera
1031,5/31/13 16:59,16:59:19,Psophia leucoptera
1031,5/31/13 16:59,16:59:24,Psophia leucoptera
1031,5/31/13 16:59,16:59:25,Psophia leucoptera
1031,5/31/13 16:59,16:59:26,Psophia leucoptera
1031,5/31/13 16:59,16:59:38,Psophia leucoptera
1031,5/31/13 16:59,16:59:38,Psophia leucoptera
