Camera.Trap.Name;Instalacao.1;Retirada.1;;;;;
3075;18/08/2013 14:44;17/09/2013 12:27;;;;;
3081;19/08/2013 07:58;18/09/2013 07:07;;;;;
3082;19/08/2013 08:22;18/09/2013 07:08;;;;;
3083;19/08/2013 08:51;18/09/2013 07:26;;;;;
3084;19/08/2013 14:01;18/09/2013 08:22;;;;;
3085;19/08/2013 12:32;18/09/2013 09:48;;;;;
3091;20/08/2013 08:51;19/09/2013 07:56;;;;;
3092;20/08/2013 09:14;19/09/2013 08:11;;;;;
3093;20/08/2013 09:53;19/09/2013 08:40;;;;;
3094;20/08/2013 11:40;19/09/2013 10:03;;;;;
4011;20/09/2013 11:01;21/11/2013 13:08;;;;;
4012;20/09/2013 16:48;21/11/2013 12:56;;;;;
4013;20/09/2013 16:38;21/11/2013 12:00;;;;;
4014;20/09/2013 12:42;21/11/2013 11:42;;;;;
4015;20/09/2013 14:37;21/11/2013 10:09;;;;;
4022;22/09/2013 09:49;22/10/2013 11:18;;;;;
4023;22/09/2013 10:26;22/10/2013 07:40;;;;;
4024;22/09/2013 11:23;22/10/2013 08:14;;;;;
4031;24/09/2013 07:16;24/10/2013 07:30;;;;;
4032;24/09/2013 07:36;24/10/2013 09:47;;;;;
4033;24/09/2013 08:07;24/10/2013 09:47;;;;;
4034;24/09/2013 09:12;24/10/2013 09:47;;;;;
4035;24/09/2013 11:07;24/10/2013 09:47;;;;;
4041;25/09/2013 07:07;25/10/2013 15:49;;;;;
4042;25/09/2013 07:29;25/10/2013 15:40;;;;;
4043;25/09/2013 08:08;25/10/2013 15:25;;;;;
4044;25/09/2013 09:13;25/10/2013 14:44;;;;;
4045;25/09/2013 11:46;25/10/2013 13:12;;;;;
4051;26/09/2013 10:00;26/10/2013 07:21;;;;;
4053;26/09/2013 10:58;26/10/2013 07:21;;;;;
4054;26/09/2013 12:16;26/10/2013 07:21;;;;;
5011;26/04/2014 16:55;26/05/2014 13:42;;;;;
5012;26/04/2014 16:37;26/05/2014 13:23;;;;;
5013;26/04/2014 16:06;26/05/2014 12:52;;;;;
5014;26/04/2014 15:06;26/05/2014 11:56;;;;;
5015;26/04/2014 13:27;26/05/2014 10:08;;;;;
5021;27/04/2014 16:47;27/05/2014 14:08;;;;;
5022;27/04/2014 16:21;27/05/2014 13:49;;;;;
5023;27/04/2014 15:56;27/05/2014 13:18;;;;;
5024;27/04/2014 15:00;27/05/2014 12:23;;;;;
5025;27/04/2014 13:42;27/05/2014 11:03;;;;;
5031;29/04/2014 16:57;29/05/2014 14:00;;;;;
5032;29/04/2014 16:39;29/05/2014 13:55;;;;;
5033;29/04/2014 15:57;29/05/2014 13:02;;;;;
5034;29/04/2014 15:06;29/05/2014 12:18;;;;;
5035;29/04/2014 14:08;29/05/2014 11:08;;;;;
