Name;RESEX;Entorno;Comunidade;Comunidade_T;Camera;Patrimôni;SD;Dist_comun;Altura;Instalacao;Retirada;N_fotos;Bat_in;Bat_fim;Instalador;Observaça;Vegetacao;Modelo;Transeccao;Cadeado;Problemas;Problem1_from;Problem1_to;distancia_RESEX;Distância_hidrografia;Distância_comunidade;Residências_500m;Residências_2.5km;Residências_5km;Residências_10km;Somatória_densidade;Distância_acesso_cidade
C3-T2-C3-1300;RCI;Sim;Repouso;Repouso_T2;3;B160316549;RCI31;1300;45;18/06/2018;13/08/2018;154;100;100;RS, Dimá, Fifa;Terra alta;MP;E2;T2;Vermelho - 096;;;;12629.6;492.8;2136.8;0;2;16;63;0.319;2164.0
C3-T2-C3-2020;RRL;Sim;São José;São José;3;B160313848;RS04;2020;45;07/10/2018;23/11/2018;156;100;66;RS/Cando/ZeFco;;Mata primária;HD;T2;Verde 184;;;;12916.5;805.5;2045.0;0;15;36;72;0.271;1872.5
C3-T2-C4-3000;RCI;Sim;Repouso;Repouso_T2;4;B171014569;CENAP22;3000;45;18/06/2018;12/08/2018;910;100;100;RS, Dimá, Fifa;Pique aberto p direito;MP;E3;T2;Branco - 792;;;;14348.1;46.1;3747.0;0;0;7;48;0.319;3831.8
C3-T2-C4-3700;RRL;Sim;São José;São José;4;B171015263;CENAP13;3700;45;07/10/2018;23/11/2018;160;100;0;RS/Cando/ZeFco;;Mata primária;E3;T2;Vermelho 688;Camera alagou-se - 11/11/18;11/11/2018;23/11/2018;13497.3;14.8;3760.5;0;0;21;66;0.271;3493.7
C3-T2-C5-6000;RRL;Sim;São José;São José;5;B160315670;RCI40;6000;50;07/10/2018;23/11/2018;444;100;66;RS/Cando/ZeFco;;Mata primária;E2;T2;Dourado 758;;;;12332.3;139.8;6096.0;0;0;0;60;0.271;5911.8
C3-T3-C1-1450;RRL;Sim;São José;São José;1;B140618442;RCI25;1450;50;08/10/2018;24/11/2018;54;100;100;RS/Cando/ZeFco;;Mata primária;HD preta;T3;Amarelo 345;;;;12381.5;669.5;1477.1;0;15;36;72;0.271;1236.5
C3-T3-C2-2000;RRL;Sim;São José;São José;2;B160316253;RCI34;2000;45;08/10/2018;24/11/2018;254;100;100;RS/Cando/ZeFco;;Mata primária;E2;T3;Dourado 468;;;;11989.0;506.5;2027.5;0;20;36;74;0.271;1624.1
C3-T3-C3-3100;RRL;Sim;São José;São José;3;B171014765;CENAP11;3100;45;08/10/2018;24/11/2018;130;66;66;RS/Cando/ZeFco;;Mata primária;E3;T3;Vermelho 075;;;;11766.2;871.3;3131.0;0;0;33;75;0.271;2824.0
C3-T3-C4-4200;RRL;Sim;São José;São José;4;B171014883;CENAP04;4200;45;08/10/2018;24/11/2018;103;100;100;RS/Cando/ZeFco;;Mata primária;E3;T3;Verde 089;;;;11435.7;176.8;4200.0;0;0;32;68;0.271;3829.0
C3-T3-C5-6000;RRL;Sim;São José;São José;5;B171015210;CENAP59;6000;40;08/10/2018;24/11/2018;117;100;0;RS/Cando/ZeFco;;Mata primária;E3;T3;Amarelo 486;Camera alagou-se - 15/11/2018;15/11/2018;24/11/2018;11113.7;326.7;6000.0;0;0;0;61;0.271;5382.8
C4-T1-C1-1100;RCI;Sim;Apuí;Apuí_T1;1;B171014781;CENAP26;1100;35;14/06/2018;11/08/2018;195;100;100;RS, Dimá, Jorge;Pé muru-muru, varadouro direita;MP;E3;T1;Amarelo - 345;;;;8452.7;339.3;1172.9;0;10;17;49;0.319;2554.7
C4-T1-C2-1700;RCI;Sim;Apuí;Apuí_T1;2;B171015080;CENAP32;1700;45;14/06/2018;11/08/2018;120;100;100;RS, Dimá, Jorge;pique direita;MP;E3;T1;Vemelho - 369;Camera quebrada;26/06/2018;11/08/2018;8340.0;405.5;1708.1;0;4;16;49;0.319;3071.7
C4-T1-C2-2880;RRL;Sim;São Luiz;São Luiz_T1;2;B171014796;CENAP22;2880;40;03/10/2018;20/11/2018;125;100;100;RS/Cando/ZéFco;;Mata primária;E3;T1;Branco 639;;;;18050.4;242.0;3011.6;0;0;40;82;0.271;2635.6
C4-T1-C3-2550;RCI;Sim;Apuí;Apuí_T1;3;B160712493;RCI38;2500;45;14/06/2018;11/08/2018;435;100;66;RS, Dimá, Jorge;Próx. barreiro;MP;E2;T1;Branco 214;;;;8477.5;140.2;2538.4;0;0;14;45;0.319;3949.7
C4-T1-C3-3400;RRL;Sim;São Luiz;São Luiz_T1;3;B160316440;RCI08;3400;35;03/10/2018;20/11/2018;221;100;0;RS/Cando/ZéFco;;Mata primária;E2;T1;Dourado 017;Camera quebrou/desconfigurou 04/10/2018;03/11/2018;20/11/2018;17990.7;551.9;3520.4;0;0;26;81;0.271;3159.0
C4-T1-C4-3850;RCI;Sim;Apuí;Apuí_T1;4;B171014262;CENAP38;3850;40;14/06/2018;11/08/2018;238;100;100;RS, Dimá, Jorge;Pique centro jorge, direita;MP;E3;T1;Dourado - 891;;;;8535.0;148.2;3877.0;0;0;11;41;0.319;5300.7
C4-T1-C4-4150;RRL;Sim;São Luiz;São Luiz_T1;4;B171014753;CENAP24;4150;40;03/10/2018;20/11/2018;378;100;66;RS/Cando/ZéFco;;Mata primária;E3;T1;Azul 707;;;;18122.1;472.0;4285.0;0;0;25;81;0.271;3916.5
C4-T1-C5-5050;RRL;Sim;São Luiz;São Luiz_T1;5;B171015304;CENAP10;5050;50;03/10/2018;20/11/2018;331;100;66;RS/Cando/ZéFco;;Mata primária;E3;T1;Verde 341;;;;17764.5;136.6;5125.7;0;0;3;75;0.271;4707.3
C4-T1-C5-6000;RCI;Sim;Apuí;Apuí_T1;5;B171014267;CENAP37;6000;50;14/06/2018;11/08/2018;33;100;;RS, Dimá, Jorge;Final pique, prox. igarapé;MP;E3;T1;Verde - 752;Camera quebrada;03/07/2018;11/08/2018;8499.7;752.5;6004.6;0;0;0;33;0.319;7406.5
C4-T1-C6-5950;RRL;Sim;São Luiz;São Luiz_T1;6;B160316242;RCI03;5950;45;03/10/2018;20/11/2018;739;100;100;RS/Cando/ZéFco;;Mata primária;E2;T1;Dourado 295;;;;17578.9;310.7;5981.3;0;0;0;66;0.271;5496.8
C4-T2-C1-1600;RRL;Sim;São Luiz;São Luiz_T2;1;B171014773;CENAP51;1600;35;04/10/2018;22/11/2018;437;100;66;RS/Cando/Antonio;;Mata primária;E3;T2;Amarelo 201;;;;19489.8;1031.9;1578.1;0;26;46;89;0.271;1471.2
C4-T2-C1-1970;RCI;Sim;Apuí;Apuí_T2;1;B171015201;CENAP31;1970;45;15/06/2018;10/08/2018;358;100;100;RS, Dimá;beirando campo, ponte caída perto, após igar;MP;E3;T2;Amarelo - 188;;;;7106.5;16.7;1976.7;0;6;30;54;0.319;715.0
C4-T2-C2-2300;RRL;Sim;São Luiz;São Luiz_T2;2;B110500885;RCI27;2300;40;04/10/2018;22/11/2018;180;100;100;RS/Cando/Antonio;;Mata primária;HD preta;T2;Dourado 693;;;;19658.9;861.8;2374.2;0;12;43;89;0.271;2265.9
C4-T2-C2-3100;RCI;Sim;Apuí;Apuí_T2;2;B171015285;CENAP30;3100;35;15/06/2018;10/08/2018;580;100;100;RS, Dimá;Ramal são josé, direita;MP;E3;T2;Azul - 788;;;;5984.3;722.0;3165.0;0;0;25;53;0.319;1246.5
C4-T2-C3-3250;RRL;Sim;São Luiz;São Luiz_T2;3;B160713841;RCI41;3250;50;04/10/2018;22/11/2018;315;100;66;RS/Cando/Antonio;;Mata primária;E2;T2;Amarelo 916;;;;20042.6;618.2;3264.7;0;0;36;80;0.271;3141.9
C4-T2-C3-3950;RCI;Sim;Apuí;Apuí_T2;3;B171014577;CENAP24;3950;45;15/06/2018;10/08/2018;393;100;100;RS, Dimá;Ramal josé, esquerda;MP;E3;T2;Branco - 597;;;;5273.9;777.8;3995.2;0;0;16;54;0.319;1529.4
C4-T2-C4-4150;RRL;Sim;São Luiz;São Luiz_T2;4;B171015289;CENAP57;4150;40;04/10/2018;22/11/2018;1107;66;66;RS/Cando/Antonio;;Mata primária;E3;T2;Dourado 484;;;;20386.0;331.8;4203.4;0;0;27;80;0.271;4070.2
C4-T2-C4-4950;RCI;Sim;Apuí;Apuí_T2;4;B160313853;RS05;4950;35;15/06/2018;10/08/2018;396;100;66;RS, Dimá;Ramal josé, esquerda;MP;HD;T2;Vermelho - 075;;;;4590.1;726.3;4991.9;0;0;4;54;0.319;1835.5
C4-T2-C5-5150;RRL;Sim;São Luiz;São Luiz_T2;5;B160714075;RCI39;5150;50;04/10/2018;22/11/2018;621;100;100;RS/Cando/Antonio;;Mata primária;E2;T2;Amarelo 891;;;;21475.2;740.0;5171.4;0;0;8;78;0.271;4830.9
C4-T2-C5-6040;RCI;Sim;Apuí;Apuí_T2;5;B171015116;CENAP25;6040;50;15/06/2018;10/08/2018;3877;100;;RS, Dimá;Rama JS, picada esquerda + 1000 metros;MP;E3;T2;Verde - 362;Camera quebrada;29/06/2018;10/08/2018;3614.1;954.6;6094.4;0;0;0;55;0.319;2808.8
C4-T2-C6-6150;RRL;Sim;São Luiz;São Luiz_T2;6;B171015220;CENAP27;6150;45;04/10/2018;22/11/2018;591;100;66;RS/Cando/Antonio;;Mata primária;E3;T2;Azul 389;;;;21885.8;93.0;6184.5;0;0;0;66;0.271;5823.4
C4-T3-C1-950;RRL;Sim;São Luiz;São Luiz_T3;1;B140604390;RCI15;950;35;05/10/2018;21/11/2018;162;100;100;RS/Cando/ZéFco;;Mata primária;HD preta;T3;Amarelo 086, Dourado 674;;;;16962.4;811.1;1023.9;0;18;46;86;0.271;1667.2
C4-T3-C2-1530;RRL;Sim;São Luiz;São Luiz_T3;2;B160316521;CENAP48;1530;35;05/10/2018;21/11/2018;264;100;66;RS/Cando/ZéFco;;Mata primária;E3;T3;Amarelo 699;;;;16690.7;793.3;1647.5;0;14;40;86;0.271;2204.0
C4-T3-C3-2350;RRL;Sim;São Luiz;São Luiz_T3;3;B171014381;CENAP78;2350;40;05/10/2018;21/11/2018;117;100;66;RS/Cando/ZéFco;;Mata primária;E3;T3;Dourado 203;;;;16530.0;302.7;2459.4;0;3;37;81;0.271;2929.0
C4-T3-C4-3740;RRL;Sim;São Luiz;São Luiz_T3;4;B171015260;CENAP67;3740;40;05/10/2018;21/11/2018;869;100;66;RS/Cando/ZéFco;;Mata primária;E3;T3;Branco 597;Data desconfigurada 2018-10-17;;;16082.3;137.1;3871.4;0;0;18;80;0.271;4123.9
C4-T3-C5-4700;RRL;Sim;São Luiz;São Luiz_T3;5;B171015073;CENAP44;4700;40;05/10/2018;21/11/2018;174;100;100;RS/Cando/ZéFco;;Mata primária;E3;T3;Vermelho 096;;;;15734.8;1.5;4819.3;0;0;6;74;0.271;4965.0
C4-T3-C6-6000;RRL;Sim;São Luiz;São Luiz_T3;6;Sem patrimônio;RCI45;6000;50;05/10/2018;21/11/2018;559;100;66;RS/Cando/ZéFco;;Mata primária;E2;T3;Dourado 673;;;;15184.4;109.8;6190.0;0;0;0;63;0.271;6095.8
CAP-T1-C1-1000;RMP;Sim;Capacini;Capacini;1;B180520642;CENAP93;1000;35;02/07/2019;22/08/2019;414;;66;Henrique/Bené;;TF;E3;1;DOURADO 979;;;;1665.1;467.2;888.2;0;11;14;48;0.125;882.4
CAP-T1-C3-2500;RMP;Sim;Capacini;Capacini;3;B171014263;CENAP37;2500;40;02/07/2019;22/08/2019;171;;100;Henrique/Bené;;TF;E3;1;AMARELO 285;;;;3046.6;354.7;2319.1;0;7;11;38;0.125;2315.1
CAP-T1-C4-3750;RMP;Sim;Capacini;Capacini;4;B160316521;RCI27;3750;;02/07/2019;22/08/2019;324;;66;Henrique/Bené;;TF;E2;1;VERMELHO 479;Camera foi mechida;;;4161.3;780.7;3461.1;0;0;11;32;0.125;3457.6
CAP-T1-C5-5000;RMP;Sim;Capacini;Capacini;5;B180843684;CENAP16;5000;40;02/07/2019;22/08/2019;333;;100;Henrique/Bené;;TF;E3;1;681;;;;5485.1;2114.8;4805.6;0;0;7;26;0.125;4802.5
CAP-T1-C6-6000;RMP;Sim;Capacini;Capacini;6;B171015289;CENAP33;6000;50;02/07/2019;22/08/2019;450;;66;Henrique/Bené;;TF;E3;1;DOURADO 064;;;;6390.5;2140.6;5727.2;0;0;0;24;0.125;5724.5
CAP-T2-C1-620_1;RMP;Sim;Capacini;Capacini;1;B180521306;CENAP91;1075;25;03/07/2019;22/08/2019;165;;100;Henrique/Bené/Alberto;;TF;E3;2;AMARELO 891;;;;1768.2;134.3;1216.3;0;11;12;46;0.125;1208.2
CAP-T2-C2-500_2;RMP;Sim;Capacini;Capacini;2;B160713827;RCI14;1500;46;03/07/2019;22/08/2019;407;;66;Henrique/Bené/Alberto;;TF;E2;2;VERMELHO;;;;2245.8;612.4;1528.5;0;11;12;46;0.125;1521.4
CAP-T2-C3-600_2;RMP;Sim;Capacini;Capacini;3;B171014883;CENAP12;1500;30;03/07/2019;22/08/2019;750;;66;Henrique/Bené/Alberto;;TF;E3;2;CADEADO 361;;;;1867.2;1071.4;1213.4;0;11;14;45;0.125;1211.9
CAP-T2-C4-4510;RMP;Sim;Capacini;Capacini;4;B171014776;CENAP25;1900;45;03/07/2019;22/08/2019;318;;100;Henrique/Bené/Alberto;;TF;E3;2;CADEADO 484;;;;1939.7;1249.7;1471.8;0;11;14;41;0.125;1473.5
CAP-T3-C1-300;RMP;Sim;Capacini;Capacini;1;B171014381;CENAP79;300;25;03/07/2019;22/08/2019;132;;66;RS/Ademilson/Jarson;;TF;E3;3;BRANCO 214;;;;826.4;537.3;727.3;4;11;16;72;0.125;401.2
