Camera.Trap.Name;data.hora.correta;Photo.time;bin;;;
1031;17/05/2013 14:51;14:51:13;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:51;14:51:24;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:51;14:51:25;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:51;14:51:26;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:32;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:33;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:34;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:45;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:46;Myrmecophaga tridactyla;;;
1031;17/05/2013 14:52;14:52:47;Myrmecophaga tridactyla;;;
1031;27/05/2013 09:41;09:41:37;Pecari tajacu;;;
1031;27/05/2013 09:41;09:41:38;Pecari tajacu;;;
1031;27/05/2013 09:41;09:41:39;Pecari tajacu;;;
1031;27/05/2013 09:41;09:41:44;Pecari tajacu;;;
1031;27/05/2013 09:41;09:41:45;Pecari tajacu;;;
1031;27/05/2013 09:41;09:41:46;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:06;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:07;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:08;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:12;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:13;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:14;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:33;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:34;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:34;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:39;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:40;Pecari tajacu;;;
1031;31/05/2013 18:35;18:35:41;Pecari tajacu;;;
1031;29/05/2013 11:09;11:09:50;Psophia spp.;;;
1031;29/05/2013 11:09;11:09:50;Psophia spp.;;;
1031;29/05/2013 11:09;11:09:51;Psophia spp.;;;
1031;29/05/2013 11:10;11:10:13;Psophia spp.;;;
1031;29/05/2013 11:10;11:10:14;Psophia spp.;;;
1031;29/05/2013 11:10;11:10:15;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:08;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:09;Psophia spp.;;;
1031;31/05/2013 16:59;16:59:10;Psophia spp.;;;
