camera_id;X;Y
SJE-T1-C3-2600;-7558368;-987257
SJE-T2-C1-650;-7553976;-996655
SJE-T1-C5-5100;-7559079;-984835
SJE-T2-C3-2250;-7553253;-998193
SJE-T2-C2-1420;-7553551;-997363
SJE-T2-C5-6070;-7550983;-1001299
SJE-T2-C4-3700;-7552845;-999619
SJE-T3-C2-1900;-7552729;-997051
SJE-T3-C1-1150;-7553452;-996716
NVA-T3-C5-5800;-7558321;-1001397
NVA-T3-C4-4900;-7558771;-1000657
ROC-T2-C2-1850;-7576352;-1003917
ROC-T2-C1-1150;-7575507;-1003622
ROC-T1-C3-4070;-7577823;-1005619
ROC-T2-C3-2780;-7577111;-1004497
ROC-T2-C4-5400;-7578550;-1006845
ROC-T1-C5-6050;-7579270;-1006951
ROC-T3-C1-500;-7578068;-1001049
ROC-T2-C5-6000;-7578698;-1007400
ROC-T3-C3-2770;-7576676;-999213
ROC-T3-C2-1500;-7577390;-1000163
ROC-T3-C5-5000;-7576067;-996931
ROC-T3-C4-3500;-7577053;-998208
SAN-T1-C3-2500;-7521221;-981101
SAN-T1-C2-3000;-7521011;-981572
MOI-T1-C4-3500;-7539366;-978857
MOI-T1-C3-2300;-7538421;-979591
MOI-T1-C6-5700;-7541039;-977334
MOI-T1-C5-4600;-7540362;-978311
NVA-T1-C2-1100;-7566006;-1001242
NVA-T1-C1-500;-7566019;-1000561
NVA-T1-C4-3250;-7565987;-1003406
NVA-T1-C3-2000;-7565983;-1002122
NVA-T2-C5-4000;-7568857;-991679
NVA-T2-C4-3250;-7568666;-992355
NVA-T2-C2-1250;-7567879;-994548
NVA-T2-C1-490;-7567111;-994691
NVA-T3-C1-2390;-7560016;-998193
NVA-T2-C3-1950;-7568467;-994048
NVA-T3-C3-3750;-7559458;-999697
NVA-T3-C2-3050;-7559924;-999188
MAN-T1-C4-3550;-7551702;-984202
MAN-T1-C3-2150;-7551515;-985629
MAN-T2-C1-1700;-7552344;-988093
MAN-T1-C5-6000;-7551979;-981730
MAN-T2-C3-3300;-7554017;-987371
MAN-T2-C2-2500;-7553250;-987670
