camera_id;X;Y;NN
5075;-67.1737;-4.9892;2969.022024
5081;-67.0663;-5.02595;275.3375656
5082;-67.0684;-5.02459;275.3375656
5083;-67.0728;-5.02041;675.2913901
5084;-67.0848;-5.00742;1953.567668
5085;-67.093;-4.97991;3175.48811
5091;-66.8238;-5.08437;308.5400996
5092;-66.8221;-5.08655;308.5400996
5093;-66.8178;-5.09103;686.4362823
5094;-66.7997;-5.09556;2067.961203
5095;-66.7727;-5.10012;3040.60866
5101;-66.9783;-4.90138;269.175087
5102;-66.9807;-4.90089;269.175087
5103;-66.9853;-4.89648;705.6210825
5104;-66.998;-4.88273;2075.299932
6011;-66.8704;-4.81704;572.122524
6013;-66.8756;-4.81676;572.122524
6021;-67.4121;-5.4744;292.1072171
6022;-67.4095;-5.47477;292.1072171
6023;-67.4054;-5.47964;702.4576462
6031;-67.2808;-5.42843;288.0786487
6032;-67.279;-5.43029;288.0786487
6033;-67.282;-5.43898;1016.501668
6034;-67.2737;-5.446;574.1599149
6041;-67.6815;-5.52136;401.2633268
7011;-59.4425;-1.99958;261.4833148
7012;-59.441;-1.99772;261.4833148
7013;-59.4386;-1.99554;359.2172358
7014;-59.4221;-1.98282;2312.310986
7015;-59.4007;-1.96643;2993.760062
7021;-59.3477;-2.06459;291.2970092
7022;-59.3471;-2.06203;291.2970092
7023;-59.346;-2.0561;667.2789214
7025;-59.3447;-2.02729;3188.452708
7031;-59.2232;-2.12112;279.0953422
7032;-59.2244;-2.11886;279.0953422
7033;-59.2258;-2.1129;678.3872339
7034;-59.2302;-2.10058;1448.952358
7035;-59.2303;-2.07679;2630.405789
7041;-59.0752;-2.29005;293.9957532
7042;-59.0745;-2.29261;293.9957532
7045;-59.068;-2.33929;5211.555988
7051;-58.8573;-2.31783;237.697681
7052;-58.8552;-2.31816;237.697681
7053;-58.8504;-2.31963;561.6277784
7054;-58.8365;-2.32887;1847.007333
7061;-58.6794;-2.34546;327.9194139
7062;-58.6788;-2.34837;327.9194139
7063;-58.6792;-2.3543;657.3232452
7064;-58.6819;-2.37205;1984.411053
7071;-58.7136;-2.17045;290.298848
7072;-58.7119;-2.16847;290.298848
7073;-58.7072;-2.1643;694.7017901
7074;-58.6947;-2.15255;1905.092265
7075;-58.6699;-2.13945;3107.784218
7081;-58.2864;-2.35294;302.618534
7082;-58.2871;-2.35028;302.618534
7083;-58.2884;-2.34465;640.4153183
7084;-58.2925;-2.327;2002.882488
7085;-58.2997;-2.30096;2989.20766
7091;-58.3732;-2.43212;956.34962
7093;-58.3735;-2.44076;956.34962
7094;-58.3731;-2.4587;1983.786708
7095;-58.382;-2.48499;3071.065158
7101;-58.2914;-2.44725;272.1433044
7102;-58.2938;-2.44763;272.1433044
7103;-58.2996;-2.4484;651.0215734
7104;-58.3132;-2.44913;1518.382551
7105;-58.3313;-2.46691;2810.445649
7111;-58.2661;-2.50429;328.1043994
7112;-58.269;-2.5041;328.1043994
7113;-58.2748;-2.50329;641.6711479
7114;-58.2853;-2.5233;2503.520489
7115;-58.2943;-2.54776;2882.894423
8011;-58.2228;-2.03169;281.9781106
8012;-58.2252;-2.03246;281.9781106
8013;-58.2298;-2.03629;670.9322395
8014;-58.2441;-2.04745;2012.139448
8015;-58.2637;-2.06591;2985.203625
8021;-58.2086;-2.10624;289.1372893
8022;-58.2109;-2.10743;289.1372893
8023;-58.216;-2.11038;657.9107649
8024;-58.2237;-2.12256;1596.108965
8025;-58.2417;-2.13402;2363.758006
8031;-58.0757;-2.26474;326.5306247
8032;-58.0742;-2.2622;326.5306247
8033;-58.0715;-2.25717;631.2858033
8034;-58.061;-2.24245;2000.524801
8035;-58.0465;-2.21959;2997.553477
8041;-58.1467;-2.40801;318.9179271
8042;-58.1448;-2.41014;318.9179271
8043;-58.1402;-2.41354;637.0260113
8044;-58.1298;-2.422;1487.08994
8045;-58.118;-2.43181;1706.531658
8051;-58.216;-2.60109;330.0374588
8052;-58.2189;-2.60161;330.0374588
8053;-58.2237;-2.60498;646.9834776
8054;-58.234;-2.61389;1513.669408
8055;-58.2476;-2.62605;2023.256412
8061;-58.1186;-2.6125;300.4855594
8062;-58.121;-2.61365;300.4855594
8063;-58.1234;-2.61969;716.6896567
8064;-58.1293;-2.63667;1990.750308
8071;-58.0252;-2.66397;347.1941721
8072;-58.0279;-2.66237;347.1941721
8073;-58.0336;-2.66349;648.5145258
8074;-58.0518;-2.66591;2038.311482
8075;-58.0784;-2.66841;2970.360502
8081;-57.9684;-2.32168;311.1623988
8082;-57.9688;-2.31889;311.1623988
8083;-57.9647;-2.31342;754.2805014
8084;-57.9591;-2.29644;1978.637811
8085;-57.9588;-2.26872;3065.596177
8092;-57.9611;-2.42985;646.7713424
8093;-57.9565;-2.42618;646.7713424
8094;-57.9443;-2.41327;1973.394311
8101;-58.0204;-2.46135;285.1649624
8102;-58.0217;-2.45909;285.1649624
8103;-58.0224;-2.45288;691.0170094
8104;-58.0255;-2.43505;2001.616067
ALE-T1-C1-288;-72.2837;-7.93987;529.6121409
ALE-T1-C2-850;-72.2873;-7.94301;529.6121409
