"","camera_id","Comunidade","RESEX","Eco_reg","Flo","Flo.Com","Hyd","Def","UC","Com.dist","Com.size","HP.L","HP.com","City.size","City.dist","HP.C","HP","Eff","X","Y","Mod","X1","Y1","NN","LxL","VDND","Eff.2","lat","lon"
"289","ALE-T1-C1-288","Alegria_2","RRL","SWA",-0.382677170291746,-1.12531739740645,1.27631709510901,2.03448449387219,-0.0177870026479668,-1.75790866507512,0.0600497829377398,0.887268478414733,0.255527649757545,1.77867399884304,-0.652128960634124,1.76369913815924,1.76456374511911,51,-8046588,-880807,"Bushnell Trophy-Cam",-1.36532388081826,-0.505057487772133,-0.616930354028048,0.6801940153045,-2.61236545896164,0.695819382101885,-72.2837,-7.93987
"290","ALE-T1-C2-850","Alegria_2","RRL","SWA",-0.382677170291746,-1.12531739740645,1.28029413307514,2.25522349188783,-0.0461926565657653,-1.25610624831359,0.0600497829377398,0.535694620850316,-0.0162529132996844,1.77867399884304,-0.641902038493495,1.75863166965467,1.75876383259845,51,-8046992,-881157,"Bushnell Trophy-Cam",-1.36625862018383,-0.506431989983851,-0.616930354028048,0.681740547613435,-2.61236545896164,0.695819382101885,-72.2873,-7.94301
"291","ALE-T1-C3-2550","Alegria_2","RRL","SWA",-0.382677170291746,-1.12531739740645,1.19376346449409,-0.36130969445655,-0.0530157387131067,-0.141265137429069,0.0600497829377398,0.0424500949817678,-0.2598175874091,1.77867399884304,-0.608020008250636,1.7419820246202,1.74142332479487,51,-8046953,-883153,"Bushnell Trophy-Cam",-1.3661807252367,-0.514258773278601,1.39193543001014,0.689547522803015,0.232324752555578,0.695819382101885,-72.287,-7.96089
"292","ALE-T1-C4-4800","Alegria_2","RRL","SWA",-0.382677170291746,-1.12531739740645,1.22171364854288,-0.453987796395197,-0.0249878561468167,0.794137303653227,0.0600497829377398,-0.233502424987025,-0.349232232928476,1.77867399884304,-0.564342422390613,1.72082708199481,1.71997139424824,51,-8046532,-885488,"Bushnell Trophy-Cam",-1.36519405590637,-0.523407530038124,0.525300196354372,0.69850643720387,0.595330295289428,0.695819382101885,-72.2832,-7.98179
"293","ALE-T1-C5-5900","Alegria_2","RRL","SWA",-0.382677170291746,-1.12531739740645,1.2177748409523,-0.453987796395197,-0.0431703301361277,1.13359459631956,-0.229200417092809,-0.584062611079185,-0.430536301428117,1.77867399884304,-0.543049287480467,1.7106367334356,1.70952922825843,47,-8046747,-886598,"Bushnell Trophy-Cam",-1.36568739057154,-0.52775866124337,0.525300196354372,0.70294623072211,-0.0519207777304834,0.37420811256996,-72.2851,-7.99173
"294","ALE-T2-C1-850","Alegria","RRL","SWA",-0.382677170291746,-1.12531739740645,0.958911538571084,1.67215776172002,-0.00528311323074268,-1.33999226176234,0.178474842704106,0.695576872798572,0.0947218107349435,1.77867399884304,-0.63917914879272,1.75728577536478,1.75771190281968,51,-8044167,-876028,"Bushnell Trophy-Cam",-1.3596635146601,-0.486322234695216,-0.254519293514133,0.660430727682527,0.062485103210293,0.695819382101885,-72.2619,-7.89707
"295","ALE-T2-C2-1500","Alegria","RRL","SWA",-0.382677170291746,-1.12531739740645,1.11778788478705,1.29988498022043,-0.0419939351680868,-1.30782475492533,-0.636875676889723,-0.0786345754545434,-0.302330291415691,1.77867399884304,-0.626023213765435,1.75080239489995,1.75015082944596,51,-8043639,-876453,"Bushnell Trophy-Cam",-1.35844316048839,-0.487990022410708,-0.254519293514133,0.661872074696047,0.204055981132495,0.695819382101885,-72.2572,-7.90088
"296","ALE-T2-C3-2800","Alegria","RRL","SWA",-0.382677170291746,-1.12531739740645,1.22630822499931,-0.235182340661213,-0.0315317639404704,-1.64868380059976,-0.636875676889723,0.153632766498144,-0.215597535673443,1.77867399884304,-0.600272994371865,1.73820474512045,1.73775687786101,51,-8042885,-877558,"Bushnell Trophy-Cam",-1.35667754168676,-0.492319266638061,0.780922180025714,0.66587103018823,0.1371069700745,0.695819382101885,-72.2504,-7.91077
"297","ALE-T2-C4-4200","Alegria","RRL","SWA",-0.382677170291746,-1.12531739740645,1.29950656034902,-0.453987796395197,-0.0497268354401976,-0.614035997081162,-0.636875676889723,-0.424136595121776,-0.397212641695599,1.77867399884304,-0.574148575771858,1.72554690839725,1.72457200565652,51,-8041807,-878412,"Bushnell Trophy-Cam",-1.35415893839621,-0.495667974255781,0.823340434783598,0.668750937420379,0.491864895853952,0.695819382101885,-72.2407,-7.91842
"298","ALE-T2-C5-6180","Alegria","RRL","SWA",-0.382677170291746,-1.12531739740645,1.2442471009159,0.0695957565928131,-0.021835459437354,0.446280196759479,-0.636875676889723,-0.785176447573297,-0.465077373564018,1.77867399884304,-0.535576894563569,1.70707938686711,1.70586602765884,51,-8039471,-878739,"Bushnell Trophy-Cam",-1.34870629209706,-0.496950551160346,1.6464715669644,0.669025168524756,0.467911332981868,0.695819382101885,-72.2197,-7.92135
